Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date
tt1031444,7,11/07/2017,My Name Is Earl: Frank's Girl,https://www.imdb.com/title/tt1031444/,tvEpisode,7.6,22,2007,Comedy,376,25/10/2007
tt1031445,4,11/07/2017,My Name Is Earl: Creative Writing,https://www.imdb.com/title/tt1031445/,tvEpisode,7,22,2007,Comedy,456,18/10/2007
tt1031446,6,11/07/2017,My Name Is Earl: Our Other Cops Is On!: Part 1,https://www.imdb.com/title/tt1031446/,tvEpisode,7.5,39,2007,Comedy,396,01/11/2007
tt1031447,6,11/07/2017,My Name Is Earl: Our Other Cops Is On!: Part 2,https://www.imdb.com/title/tt1031447/,tvEpisode,7.5,20,2007,Comedy,397,01/11/2007
tt10322282,7,01/03/2020,Brooklyn Nine-Nine: Captain Kim,https://www.imdb.com/title/tt10322282/,tvEpisode,8.5,21,2020,Comedy,948,06/02/2020
tt10322284,7,01/03/2020,Brooklyn Nine-Nine: Pimemento,https://www.imdb.com/title/tt10322284/,tvEpisode,8.7,21,2020,Comedy,978,13/02/2020
tt10322290,7,01/03/2020,Brooklyn Nine-Nine: The Jimmy Jab Games II,https://www.imdb.com/title/tt10322290/,tvEpisode,8,21,2020,Comedy,825,20/02/2020
tt10334414,7,28/03/2020,Friday Night Dinner: The Caravan,https://www.imdb.com/title/tt10334414/,tvEpisode,8.3,24,2020,Comedy,291,27/03/2020
tt10369378,6,19/10/2019,RuPaul's Drag Race UK: Downton Draggy,https://www.imdb.com/title/tt10369378/,tvEpisode,7.6,63,2019,Game-Show,130,10/10/2019
tt10369380,6,19/10/2019,RuPaul's Drag Race UK: Posh on a Penny,https://www.imdb.com/title/tt10369380/,tvEpisode,8.1,63,2019,Game-Show,123,17/10/2019
tt0104431,7,12/12/2017,Home Alone 2: Lost in New York,https://www.imdb.com/title/tt0104431/,movie,6.7,120,1992,Adventure,286640,15/11/1992
tt10457770,7,25/12/2019,Not Going Out: Builder,https://www.imdb.com/title/tt10457770/,tvEpisode,8.2,,2019,Comedy,17,27/05/2019
tt10463622,7,16/03/2020,I Am Not Okay with This: Dear Diary...,https://www.imdb.com/title/tt10463622/,tvEpisode,7.4,19,2020,Comedy,1277,26/02/2020
tt10463628,7,16/03/2020,I Am Not Okay with This: The Master of One F**k,https://www.imdb.com/title/tt10463628/,tvEpisode,7.6,20,2020,Comedy,1169,26/02/2020
tt10463630,7,18/03/2020,"I Am Not Okay with This: Like Father, Like Daughter",https://www.imdb.com/title/tt10463630/,tvEpisode,7.8,19,2020,Comedy,1015,26/02/2020
tt10463632,7,16/03/2020,I Am Not Okay with This: Stan by Me,https://www.imdb.com/title/tt10463632/,tvEpisode,7.8,23,2020,Comedy,1044,26/02/2020
tt10463634,7,18/03/2020,I Am Not Okay with This: Another Day in Paradise,https://www.imdb.com/title/tt10463634/,tvEpisode,8.1,23,2020,Comedy,1062,26/02/2020
tt10463636,7,18/03/2020,"I Am Not Okay with This: Deepest, Darkest Secret",https://www.imdb.com/title/tt10463636/,tvEpisode,8.7,24,2020,Comedy,1297,26/02/2020
tt10463642,7,16/03/2020,I Am Not Okay with This: The Party's Over,https://www.imdb.com/title/tt10463642/,tvEpisode,7.5,28,2020,Comedy,1096,26/02/2020
tt1047540,7,03/08/2017,Parental Guidance,https://www.imdb.com/title/tt1047540/,movie,6,105,2012,Comedy,24342,25/12/2012
tt1049413,7,08/02/2017,Up,https://www.imdb.com/title/tt1049413/,movie,8.2,96,2009,Animation,895949,13/05/2009
tt0105046,7,11/07/2017,Of Mice and Men,https://www.imdb.com/title/tt0105046/,movie,7.5,115,1992,Drama,39007,16/09/1992
tt10516874,7,01/01/2020,Worzel Gummidge,https://www.imdb.com/title/tt10516874/,tvSeries,7.7,,2019,Family,903,26/12/2019
tt0105236,9,30/08/2019,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,Crime,880741,21/01/1992
tt1054724,8,25/06/2018,Breaking Bad: Cat's in the Bag...,https://www.imdb.com/title/tt1054724/,tvEpisode,8.7,48,2008,Crime,16439,27/01/2008
tt1054725,8,25/06/2018,Breaking Bad: ...And the Bag's in the River,https://www.imdb.com/title/tt1054725/,tvEpisode,8.8,48,2008,Crime,15924,10/02/2008
tt1054726,8,25/06/2018,Breaking Bad: Cancer Man,https://www.imdb.com/title/tt1054726/,tvEpisode,8.3,48,2008,Crime,15461,17/02/2008
tt1054727,8,25/06/2018,Breaking Bad: Gray Matter,https://www.imdb.com/title/tt1054727/,tvEpisode,8.4,48,2008,Crime,15151,24/02/2008
tt1054728,8,25/06/2018,Breaking Bad: Crazy Handful of Nothin',https://www.imdb.com/title/tt1054728/,tvEpisode,9.3,48,2008,Crime,17536,02/03/2008
tt1054729,8,25/06/2018,Breaking Bad: A No-Rough-Stuff-Type Deal,https://www.imdb.com/title/tt1054729/,tvEpisode,8.9,48,2008,Crime,15418,09/03/2008
tt1060277,7,17/02/2017,Cloverfield,https://www.imdb.com/title/tt1060277/,movie,7,85,2008,Action,363547,16/01/2008
tt0106519,8,26/12/2018,Carlito's Way,https://www.imdb.com/title/tt0106519/,movie,7.9,144,1993,Crime,193241,07/11/1993
tt10674820,6,28/11/2019,Riverdale: Chapter Fifty-Nine: Fast Times at Riverdale High,https://www.imdb.com/title/tt10674820/,tvEpisode,7.5,42,2019,Crime,631,16/10/2019
tt1074638,8,19/09/2016,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.7,143,2012,Action,613795,23/10/2012
tt0108052,9,02/07/2017,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,Biography,1161069,30/11/1993
tt1082868,7,14/04/2017,Quarantine,https://www.imdb.com/title/tt1082868/,movie,5.9,89,2008,Horror,68432,10/10/2008
tt10884066,5,28/11/2019,Riverdale: Chapter Sixty: Dog Day Afternoon,https://www.imdb.com/title/tt10884066/,tvEpisode,6.8,42,2019,Crime,616,23/10/2019
tt10884082,5,28/11/2019,Riverdale: Chapter Sixty-One: Halloween,https://www.imdb.com/title/tt10884082/,tvEpisode,7.7,42,2019,Crime,568,30/10/2019
tt1091191,7,07/04/2020,Lone Survivor,https://www.imdb.com/title/tt1091191/,movie,7.5,121,2013,Action,257790,12/11/2013
tt10938590,5,28/11/2019,Riverdale: Chapter Sixty-Two: Witness for the Prosecution,https://www.imdb.com/title/tt10938590/,tvEpisode,7.3,41,2019,Crime,507,06/11/2019
tt10981294,7,01/01/2020,Worzel Gummidge: The Scarecrow of Scatterbrook,https://www.imdb.com/title/tt10981294/,tvEpisode,7.9,59,2019,Family,134,26/12/2019
tt10981298,8,01/01/2020,Worzel Gummidge: The Green Man,https://www.imdb.com/title/tt10981298/,tvEpisode,8.2,58,2019,Family,119,27/12/2019
tt0109830,9,22/04/2020,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,Drama,1720660,23/06/1994
tt1099212,5,01/12/2019,Twilight,https://www.imdb.com/title/tt1099212/,movie,5.2,122,2008,Drama,409093,17/11/2008
tt11056146,5,28/11/2019,Riverdale: Chapter Sixty-Three: Hereditary,https://www.imdb.com/title/tt11056146/,tvEpisode,7,42,2019,Crime,468,13/11/2019
tt11056160,6,28/11/2019,Riverdale: Chapter Sixty-Four: The Ice Storm,https://www.imdb.com/title/tt11056160/,tvEpisode,7.5,42,2019,Crime,492,20/11/2019
tt0110912,8,10/10/2018,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,Crime,1749330,21/05/1994
tt1109624,7,11/12/2016,Paddington,https://www.imdb.com/title/tt1109624/,movie,7.2,95,2014,Adventure,92596,23/11/2014
tt0111161,9,30/04/2020,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2231193,10/09/1994
